Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Michael Bublé,It's Beginning to Look a Lot like Christmas,5a1iz510sv2W9Dt1MvFd5R,86,0.908,0.339,206640,0.214,7.47e-06,4,0.341,-11.714,1,0.0375,94.775,3,0.363
Frank Ocean,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,76,0.409,0.721,200747,0.339,0.00153,0,0.0973,-11.195,1,0.0532,129.83,4,0.2
Michael Bublé,Holly Jolly Christmas,5PuKlCjfEVIXl0ZBp5ZW9g,81,0.865,0.647,119787,0.465,0.0,7,0.0882,-8.308,1,0.0428,151.251,4,0.699
Bruno Mars,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,83,0.932,0.612,213827,0.28,0.0,0,0.088,-8.648,1,0.0434,72.795,4,0.387
Michael Bublé,Santa Claus Is Coming to Town,1RMDXedcRno6rDBCbNHDJf,81,0.785,0.594,171093,0.389,0.0,10,0.0313,-7.109,1,0.0517,122.331,4,0.396
alt-J,Breezeblocks,3n69hLUdIsSa1WlRmjMZlW,75,0.096,0.616,227080,0.656,0.000879,5,0.205,-7.298,1,0.0344,150.071,4,0.286
MKTO,Classic,6FE2iI43OZnszFLuLtvvmg,78,0.0384,0.72,175427,0.791,0.0,1,0.157,-4.689,1,0.124,102.071,4,0.756
Imagine Dragons,Demons,3LlAyCYU26dvFZBDUIMb7a,74,0.19,0.505,175200,0.71,0.00025,3,0.329,-3.015,1,0.0321,89.938,4,0.428
Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,83,0.0291,0.641,258343,0.922,0.0,2,0.0862,-4.457,1,0.0786,146.078,4,0.847
Imagine Dragons,Radioactive,4G8gkOterJn0Ywt6uhqbhp,73,0.106,0.448,186813,0.784,0.000108,9,0.668,-3.686,1,0.0627,136.245,4,0.236
Meek Mill,Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,73,0.468,0.631,230693,0.774,0.0,11,0.281,-2.459,1,0.3,79.745,4,0.44
fun.,We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,72,0.02,0.378,250627,0.638,7.66e-05,10,0.0849,-5.576,1,0.075,184.086,4,0.735
Chief Keef,Love Sosa,4IowQDUOzUvNtp72HMDcKO,72,0.0361,0.772,246213,0.413,0.0,0,0.111,-8.193,0,0.089,131.965,4,0.211
The Lumineers,Ho Hey,0W4Kpfp1w2xkY3PrV714B7,71,0.794,0.685,163133,0.466,2.06e-06,0,0.0915,-9.074,1,0.0304,79.936,4,0.353
