Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Tame Impala,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,86,0.0115,0.64,216320.0,0.74,0.00678,4.0,0.167,-4.083,1.0,0.0284,116.879,4.0,0.785
Bryson Tiller,Don't,3pXF1nA74528Edde4of9CC,81,0.222,0.765,198293.0,0.356,0.0,11.0,0.0963,-5.556,0.0,0.196,97.001,4.0,0.19
Bryson Tiller,Exchange,43PuMrRfbyyuz4QpZ3oAwN,80,0.108,0.53,194613.0,0.433,0.0,6.0,0.135,-10.598,1.0,0.185,160.14,4.0,0.274
The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,84,0.0671,0.58,242253.0,0.565,0.0,0.0,0.135,-7.065,0.0,0.0488,112.986,4.0,0.138
Chris Stapleton,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,78,0.205,0.392,293293.0,0.37,0.0096,9.0,0.0821,-10.888,1.0,0.0298,48.718,4.0,0.512
blackbear,Idfc,6y6jbcPG4Yn3Du4moXaenr,81,0.611,0.63,245172.0,0.5,4.04e-05,1.0,0.114,-8.755,0.0,0.0611,144.871,4.0,0.315
White Noise Meditation,Brown Noise - Loopable with No Fade,67iF3DdebmElASIGoebYt1,77,0.0,0.0,73887.0,2.01e-05,0.0,5.0,0.0,-15.776,1.0,0.0,0.0,0.0,0.0
Lord Huron,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,76,0.969,0.545,208212.0,0.366,0.267,2.0,0.641,-9.51,1.0,0.0378,86.997,3.0,0.1
Thomas Rhett,Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,76,0.418,0.595,227427.0,0.389,1.39e-06,2.0,0.116,-9.245,1.0,0.0349,166.052,4.0,0.4
WILLOW,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,79,0.0371,0.764,196520.0,0.705,1.94e-05,3.0,0.0943,-5.279,0.0,0.0278,101.003,4.0,0.672
Mac Miller,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,77,0.47,0.843,208080.0,0.435,0.0,8.0,0.147,-8.442,1.0,0.178,120.058,4.0,0.19
Twenty One Pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,84,0.0462,0.734,202333.0,0.637,2.29e-05,4.0,0.0602,-5.677,0.0,0.141,169.977,4.0,0.648
Rae Sremmurd,Come Get Her,1Ser4X0TKttOvo8bgdytTP,77,0.187,0.689,212947.0,0.564,0.0,2.0,0.0721,-6.226,1.0,0.136,185.023,4.0,0.123
Jeremih,oui,0PJIbOdMs3bd5AT8liULMQ,76,0.213,0.418,238320.0,0.724,0.0,5.0,0.112,-3.724,1.0,0.0964,78.521,5.0,0.604
Twenty One Pilots,Ride,2Z8WuEywRWYTKe1NybPQEW,82,0.00835,0.645,214507.0,0.713,0.0,6.0,0.113,-5.355,1.0,0.0393,74.989,4.0,0.566
Travis Scott,Antidote,1wHZx0LgzFHyeIZkUydNXq,78,0.00767,0.713,262693.0,0.526,0.000148,1.0,0.124,-5.046,1.0,0.032,131.05,4.0,0.131
Fall Out Boy,Centuries,04aAxqtGp5pv12UXAg4pkq,81,0.00359,0.394,228360.0,0.858,0.0,4.0,0.102,-2.868,0.0,0.0729,176.044,4.0,0.56
Alessia Cara,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,74,0.0285,0.573,230227.0,0.739,0.0,0.0,0.111,-5.74,1.0,0.129,97.085,4.0,0.451
X Ambassadors,Unsteady,7lGKEWMXVWWTt3X71Bv44I,78,0.178,0.389,193547.0,0.665,0.000732,0.0,0.116,-6.169,1.0,0.0644,117.055,4.0,0.199
BØRNS,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,76,0.00543,0.611,218107.0,0.797,0.00137,6.0,0.26,-7.627,0.0,0.0533,120.041,4.0,0.518
The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,80,0.112,0.705,213520.0,0.769,0.0,9.0,0.105,-5.526,0.0,0.0426,107.939,4.0,0.59
$uicideBoy$,Kill Yourself (Part III),5XAPpyIoYF3QXP34Hv8Pvx,78,0.324,0.753,145078.0,0.679,4.21e-05,5.0,0.423,-7.092,0.0,0.0349,105.977,4.0,0.19
Mark Ronson,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,82,0.00801,0.856,269667.0,0.609,8.15e-05,0.0,0.0344,-7.223,1.0,0.0824,114.988,4.0,0.928
Mike Stud,These Days,5tsI3xxDHDgzHhn30LTQNz,75,0.533,0.815,268566.0,0.364,3.52e-05,2.0,0.108,-11.158,1.0,0.375,129.937,4.0,0.328
Justin Bieber,Love Yourself,50kpGaPAhYJ3sGmk6vplg0,83,0.835,0.609,233720.0,0.378,0.0,4.0,0.28,-9.828,1.0,0.438,100.418,4.0,0.515
