Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,99,0.192,0.695,215280.0,0.762,0.00244,0.0,0.0863,-3.497,1.0,0.0395,120.042,4.0,0.553
Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,98,0.0546,0.598,175721.0,0.427,5.83e-06,7.0,0.21,-8.764,0.0,0.0317,76.469,4.0,0.0605
Juice WRLD,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,93,0.0687,0.474,189323.0,0.631,0.0,5.0,0.132,-5.884,0.0,0.343,180.051,4.0,0.425
Arizona Zervas,ROXANNE,696DnlkuDOXcMAnKlTgXXK,97,0.0522,0.621,163636.0,0.601,0.0,6.0,0.46,-5.616,0.0,0.148,116.735,5.0,0.457
Selena Gomez,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,98,0.576,0.505,206459.0,0.34,0.0,4.0,0.21,-9.005,1.0,0.0438,101.993,4.0,0.0916
Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,97,0.902,0.704,245426.0,0.225,0.657,6.0,0.106,-14.454,0.0,0.0994,120.006,4.0,0.243
blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,97,0.128,0.778,185093.0,0.559,0.0,6.0,0.399,-7.109,0.0,0.0776,129.989,1.0,0.678
Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,100,0.837,0.764,189486.0,0.32,0.0,11.0,0.0822,-7.209,1.0,0.0546,91.019,4.0,0.575
DaBaby,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,91,0.189,0.769,159715.0,0.787,0.0,11.0,0.129,-3.909,1.0,0.367,126.77,4.0,0.836
YNW Melly,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,90,0.0388,0.932,176640.0,0.547,0.0,0.0,0.0924,-7.787,0.0,0.333,94.998,4.0,0.695
Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,96,0.751,0.501,182161.0,0.405,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,4.0,0.446
NLE Choppa,Camelot,4sWuPniHClkInYAnzXAYUF,89,0.0849,0.787,148759.0,0.713,0.0,7.0,0.717,-5.252,1.0,0.401,175.041,4.0,0.762
Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,95,0.153,0.654,167693.0,0.63,0.0,10.0,0.111,-4.644,1.0,0.0259,89.991,4.0,0.43
The Weeknd,Heartless,57vxBYXtHMk6H1aD29V7PU,93,0.00632,0.531,200080.0,0.75,7.6e-05,10.0,0.117,-5.831,0.0,0.111,169.954,4.0,0.198
Lizzo,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,91,0.11,0.715,173325.0,0.624,0.0,4.0,0.123,-3.046,0.0,0.114,158.087,4.0,0.412
Lil Tecca,Ransom,1lOe9qE0vR9zwWQAOk6CoO,92,0.0204,0.745,131240.0,0.642,0.0,7.0,0.0658,-6.257,0.0,0.287,179.974,4.0,0.226
DaBaby,VIBEZ,0fySG6A6qLE8IvDpayb5bM,88,0.113,0.768,144935.0,0.652,0.0,1.0,0.107,-2.708,0.0,0.307,154.187,4.0,0.777
Tones and I,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,98,0.692,0.824,209438.0,0.588,0.000104,6.0,0.149,-6.4,0.0,0.0924,98.027,4.0,0.513
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,91,0.0906,0.499,229573.0,0.8,0.0,1.0,0.147,-2.665,0.0,0.0502,139.919,4.0,0.272
Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,90,0.101,0.831,205427.0,0.502,0.0,10.0,0.122,-4.045,0.0,0.046,100.541,4.0,0.101
Mustard,Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,88,0.392,0.809,180435.0,0.545,0.0,7.0,0.151,-6.678,1.0,0.0735,97.008,4.0,0.244
Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,95,0.328,0.701,194088.0,0.425,0.13,7.0,0.1,-10.965,1.0,0.375,135.128,4.0,0.562
Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,97,0.0125,0.794,183290.0,0.793,0.0,11.0,0.0952,-4.521,0.0,0.0842,123.941,4.0,0.677
Kanye West,Follow God,2QpGZOhTCHHiKmpSO9FW4h,92,0.000248,0.529,104591.0,0.9,1.21e-05,1.0,0.0426,-3.503,1.0,0.418,180.291,4.0,0.434
Post Malone,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,93,0.456,0.548,174853.0,0.653,0.0,5.0,0.103,-3.875,1.0,0.081,150.068,4.0,0.163
DaBaby,Suge,2gwkD6igEhQbDQegRCcdoB,87,0.0608,0.876,163320.0,0.662,0.0,2.0,0.127,-6.482,0.0,0.426,75.445,4.0,0.844
Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],56AMYGJzxBO6p8v0wEe9de,89,0.158,0.848,279907.0,0.713,0.0,7.0,0.0765,-5.636,0.0,0.176,111.984,4.0,0.509
Harry Styles,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,91,0.122,0.548,174000.0,0.816,0.0,0.0,0.335,-4.209,1.0,0.0465,95.39,4.0,0.557
Young Thug,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,87,0.063,0.855,193027.0,0.651,0.0,0.0,0.0772,-8.044,0.0,0.235,111.997,4.0,0.559
Post Malone,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,88,0.0588,0.542,196760.0,0.674,0.0,6.0,0.0955,-4.169,1.0,0.21,76.388,4.0,0.667
YoungBoy Never Broke Again,Make No Sense,6klLvorLoo1sxvZcjJIY8I,86,0.0208,0.876,148630.0,0.733,0.0,10.0,0.0999,-4.478,0.0,0.333,154.904,4.0,0.962
Lil Baby,Woah,598yNsG1JFrGd4n2kMoz7F,87,0.0177,0.882,183011.0,0.602,0.0,11.0,0.178,-5.554,1.0,0.245,142.959,4.0,0.43
The Weeknd,Blinding Lights,0sf12qNH5qcw8qpgymFOqD,90,0.00147,0.513,201573.0,0.796,0.000209,1.0,0.0938,-4.075,1.0,0.0629,171.017,4.0,0.345
SHAED,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,93,0.56,0.619,184280.0,0.459,0.0,7.0,0.137,-5.782,0.0,0.0334,126.803,4.0,0.498
Lil Mosey,Stuck In A Dream (feat. Gunna),7iHHxY2NLlJRAmlAmC4ahQ,88,0.481,0.748,123560.0,0.648,0.0,10.0,0.126,-6.445,0.0,0.0816,139.952,4.0,0.726
Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,94,0.153,0.477,202205.0,0.682,0.0,1.0,0.0763,-4.931,0.0,0.0925,110.567,5.0,0.345
Chris Brown,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,87,0.123,0.698,260640.0,0.454,0.0,1.0,0.155,-6.756,0.0,0.151,92.932,4.0,0.137
Halsey,Graveyard,6V9fHiv84WlVTg7CSnIVY2,91,0.231,0.667,181806.0,0.583,4.48e-05,11.0,0.181,-5.127,0.0,0.0747,92.043,4.0,0.187
Lil Tjay,F.N,0RLLvYBopDwooCyvnTwgYu,84,0.354,0.567,224000.0,0.515,0.0,6.0,0.078,-10.265,0.0,0.247,120.1,1.0,0.321
