Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
JAY-Z,Picasso Baby,0XvFzG191fIJee4fI2aDNo,47,0.0171,0.525,245787.0,0.74,6.52e-05,1.0,0.249,-5.383,1.0,0.295,85.8,4.0,0.662
JAY-Z,BBC,0pm0QYBXn2VmBECyhsOOUX,43,0.0945,0.802,192387.0,0.783,0.0,11.0,0.169,-5.512,1.0,0.149,118.018,4.0,0.892
JAY-Z,Part II (On The Run),0zrxLoUbe59VjUfDI1r2m4,48,0.279,0.601,333720.0,0.636,0.0,8.0,0.455,-5.732,1.0,0.0938,86.997,4.0,0.351
JAY-Z,Tom Ford,17emWpF3SHGmuIu46LnWMB,52,0.0501,0.863,189013.0,0.705,2.21e-05,8.0,0.524,-6.202,1.0,0.31,145.099,4.0,0.599
JAY-Z,Nickels And Dimes,1YygSpcGSKCn9tFNICnFfN,40,0.0808,0.602,303253.0,0.741,0.084,7.0,0.305,-8.825,1.0,0.337,178.616,4.0,0.357
JAY-Z,Holy Grail,1q9bLSeIlGf2xBvbOkp2Wr,57,0.0594,0.675,338413.0,0.534,8.59e-06,2.0,0.256,-6.901,0.0,0.0831,145.08,4.0,0.156
JAY-Z,Somewhereinamerica,2pEUFRstm7GvxxgTzFJrAm,46,0.0474,0.737,148040.0,0.705,0.0,2.0,0.437,-6.284,1.0,0.2,85.993,4.0,0.35
JAY-Z,F.U.T.W.,3jJGq1tmQAunyLJquO7MVw,45,0.0308,0.576,242760.0,0.646,0.0,1.0,0.179,-8.097,0.0,0.23,88.057,4.0,0.323
JAY-Z,Oceans,4gKy4mu2gkMEUyXD5peMIr,49,0.219,0.365,237920.0,0.943,0.0,11.0,0.39,-5.274,0.0,0.474,177.919,4.0,0.456
JAY-Z,Beach Is Better,4vmMrZyFaFt0VmbC35UcNg,43,0.000951,0.707,55667.0,0.497,1.56e-05,9.0,0.121,-6.543,1.0,0.0589,114.202,4.0,0.115
JAY-Z,Crown,4x1Y2as27pLwaNpAp96Vdm,45,0.0141,0.414,274053.0,0.454,0.0462,4.0,0.4,-9.33,1.0,0.0589,117.147,4.0,0.07
JAY-Z,JAY Z Blue,5cehUNm1js9i4uQxefwOLd,40,0.0196,0.736,230080.0,0.605,0.00825,0.0,0.198,-7.549,1.0,0.353,84.776,4.0,0.33
